COD	Clade
nwhC4	Actinopteri
fruH1	Aves
fruH2	Aves
cdiH1	Mammalia
cdiH2	Mammalia
cdiH3	Mammalia
pnaH1	Actinopteri
pnaH2	Actinopteri
pnaH3	Actinopteri
pnaC4	Actinopteri
sumC1	Actinopteri
sumH2	Actinopteri
sumH3	Actinopteri
sumH4	Actinopteri
sumC5	Actinopteri
sumC6	Actinopteri
rnoH1	Mammalia
rnoH2	Mammalia
rnoH3	Mammalia
pmoC1	Malacostraca
cmyH1	Testudines
cmyH2	Testudines
cmyH3	Testudines
cmyH4	Testudines
cmyH5	Testudines
aplH1	Aves
aplH2	Aves
cquC1	Insecta
cquC2	Insecta
tacH1	Mammalia
tacH2	Mammalia
tacH3	Mammalia
easH2	Mammalia
lsaC2	Hexanauplia
lsaC3	Hexanauplia
gaeC1	Gastropoda
gaeC2	Gastropoda
gaeC4	Gastropoda
gaeN5	Gastropoda
gaeC6	Gastropoda
gaeN7	Gastropoda
gaeC8	Gastropoda
gaeC9	Gastropoda
gaeC10	Gastropoda
gaeN11	Gastropoda
gaeC12	Gastropoda
gaeC13	Gastropoda
gaeC14	Gastropoda
gaeC15	Gastropoda
gaeC16	Gastropoda
gaeC17	Gastropoda
gaeC18	Gastropoda
gaeC19	Gastropoda
gaeC20	Gastropoda
gaeN21	Gastropoda
gaeC22	Gastropoda
mreH1	Testudines
mreH2	Testudines
snaC1	Actinopteri
snaC2	Actinopteri
snaH3	Actinopteri
snaC5	Actinopteri
snaH8	Actinopteri
snaH9	Actinopteri
aflH1	Mammalia
aflH2	Mammalia
aflH3	Mammalia
gagH1	Mammalia
gagH3	Mammalia
btrC1	Insecta
btrC3	Insecta
ggaH2	Aves
ggaH3	Aves
dteC1	Insecta
dsaC1	Insecta
dsaC2	Insecta
dyaC1	Insecta
dyaC2	Insecta
dsimC1	Insecta
oarH2	Mammalia
oarH3	Mammalia
oarH5	Mammalia
cpipC3	Insecta
sinC1	Insecta
sinC2	Insecta
pseH1	Cladistia
pseC2	Cladistia
pseC3	Cladistia
pseC4	Cladistia
pseC5	Cladistia
pseH6	Cladistia
xglH1	Actinopteri
xglH2	Actinopteri
xglC3	Actinopteri
xglC4	Actinopteri
xglC5	Actinopteri
xglH6	Actinopteri
itrH1	Mammalia
itrH2	Mammalia
itrH3	Mammalia
pafH1	Mammalia
pafH2	Mammalia
pafH3	Mammalia
pafH4	Mammalia
aarC1	Insecta
aarC2	Insecta
gacH1	Actinopteri
gacH2	Actinopteri
gacH3	Actinopteri
gacH4	Actinopteri
gacC5	Actinopteri
gacC6	Actinopteri
gacC7	Actinopteri
gacC8	Actinopteri
aaloH1	Actinopteri
aaloH2	Actinopteri
aaloC3	Actinopteri
aaloC4	Actinopteri
aaloC5	Actinopteri
ptriC1	Malacostraca
danC1	Insecta
danC2	Insecta
ccaH1	Chondrichthyes
ccaH2	Chondrichthyes
ccaH3	Chondrichthyes
ccaC4	Chondrichthyes
fnaH1	Aves
fnaH2	Aves
mboC1	Actinopteri
mboH2	Actinopteri
mboH3	Actinopteri
mboH4	Actinopteri
mboC5	Actinopteri
mboC7	Actinopteri
mboC8	Actinopteri
pspH1	Actinopteri
pspH2	Actinopteri
pspH3	Actinopteri
pspH4	Actinopteri
pspH5	Actinopteri
pspC6	Actinopteri
pspN7	Actinopteri
pspC8	Actinopteri
pspH9	Actinopteri
xlaC1	Amphibia
xlaC2	Amphibia
croH1	Actinopteri
croH2	Actinopteri
croH3	Actinopteri
croC4	Actinopteri
tjaH1	Actinopteri
tjaC2	Actinopteri
tjaH3	Actinopteri
tjaH4	Actinopteri
tjaC5	Actinopteri
gcaH2	Aves
otsC2	Actinopteri
otsH3	Actinopteri
otsC4	Actinopteri
otsH8	Actinopteri
cunC1	Actinopteri
cunH2	Actinopteri
cunH4	Actinopteri
cunC5	Actinopteri
cunC6	Actinopteri
ccarC1	Actinopteri
ccarH2	Actinopteri
ccarH3	Actinopteri
ccarC4	Actinopteri
ccarH5	Actinopteri
ccarC6	Actinopteri
ccarH7	Actinopteri
ccarH8	Actinopteri
ccarH9	Actinopteri
vlaH1	Mammalia
fcaH2	Mammalia
ptiH2	Mammalia
pleoH8	Mammalia
asaC1	Actinopteri
asaC2	Actinopteri
asaH3	Actinopteri
asaC4	Actinopteri
asaH6	Actinopteri
asaH7	Actinopteri
mamH1	Actinopteri
mamH2	Actinopteri
mamH3	Actinopteri
mamC4	Actinopteri
mamC5	Actinopteri
mamC6	Actinopteri
ptetC1	Actinopteri
ptetC2	Actinopteri
ptetC3	Actinopteri
ptetH4	Actinopteri
ptetH5	Actinopteri
ptetH6	Actinopteri
dwiC1	Insecta
sunH1	Lepidosauria
sunH3	Lepidosauria
sseH1	Actinopteri
sseH2	Actinopteri
sseC3	Actinopteri
sseH4	Actinopteri
sseH5	Actinopteri
sseH6	Actinopteri
sseC7	Actinopteri
sseC9	Actinopteri
pchC1	Malacostraca
pannH1	Ceratodontiformes
pannC2	Ceratodontiformes
pannH3	Ceratodontiformes
pannH4	Ceratodontiformes
pannH5	Ceratodontiformes
pannH6	Ceratodontiformes
ccanH1	Mammalia
ccanH3	Mammalia
ccanH4	Mammalia
dglH1	Mammalia
dglH3	Mammalia
vcaC2	Insecta
vcaC3	Insecta
masC1	Actinopteri
masC2	Actinopteri
masH3	Actinopteri
masH4	Actinopteri
masH5	Actinopteri
masH6	Actinopteri
masH7	Actinopteri
masC8	Actinopteri
gafH1	Actinopteri
gafH3	Actinopteri
gafC4	Actinopteri
gafC5	Actinopteri
gafC6	Actinopteri
gafC7	Actinopteri
bbuH1	Mammalia
bbuH3	Mammalia
bbuH4	Mammalia
cidH1	Actinopteri
cidH2	Actinopteri
cidH3	Actinopteri
cidC4	Actinopteri
cglC1	Insecta
cglC2	Insecta
schC1	Actinopteri
schC2	Actinopteri
schH3	Actinopteri
schC4	Actinopteri
schH5	Actinopteri
schH6	Actinopteri
nvisH2	Mammalia
nvisH3	Mammalia
sarH1	Actinopteri
sarC2	Actinopteri
sarH3	Actinopteri
sarH4	Actinopteri
sarC5	Actinopteri
pclC2	Malacostraca
mmutH1	Testudines
mmutH2	Testudines
dpoC1	Bivalvia
dpoN5	Bivalvia
dpoC6	Bivalvia
dpoC7	Bivalvia
dpoC8	Bivalvia
dpoC10	Bivalvia
dpoC11	Bivalvia
dpoC12	Bivalvia
dpoC13	Bivalvia
dpoC14	Bivalvia
dpoC15	Bivalvia
dpoN16	Bivalvia
dpoN17	Bivalvia
dpoC18	Bivalvia
dpoN19	Bivalvia
dpoN20	Bivalvia
dpoC21	Bivalvia
dpoN23	Bivalvia
dpoC24	Bivalvia
dpoC25	Bivalvia
dpoN26	Bivalvia
dpoC27	Bivalvia
dpoC28	Bivalvia
cclH1	Actinopteri
cclH2	Actinopteri
cclH3	Actinopteri
cclC4	Actinopteri
cclC5	Actinopteri
cclH7	Actinopteri
cclH8	Actinopteri
cclC9	Actinopteri
dmagC1	Branchiopoda
dmagC2	Branchiopoda
dmagC3	Branchiopoda
dmagC4	Branchiopoda
lcatH1	Mammalia
jjaH2	Mammalia
jjaH3	Mammalia
chaH2	Aves
aapH2	Aves
stoH1	Lepidosauria
stoH2	Lepidosauria
stoH3	Lepidosauria
stoH4	Lepidosauria
hviC2	Insecta
dpuC1	Branchiopoda
dpuC2	Branchiopoda
dpuC3	Branchiopoda
dsimC3	Insecta
dsimC4	Insecta
dsimC5	Insecta
npiC1	Insecta
nfaC1	Insecta
nfaC2	Insecta
nfaC3	Insecta
ogoH1	Actinopteri
ogoH3	Actinopteri
ogoH4	Actinopteri
ogoH5	Actinopteri
ogoC8	Actinopteri
dpulC1	Branchiopoda
dpulC2	Branchiopoda
dpulC3	Branchiopoda
mdolC1	Actinopteri
mdolH2	Actinopteri
mdolH3	Actinopteri
mdolH4	Actinopteri
mdolH5	Actinopteri
mdolC6	Actinopteri
mdolC7	Actinopteri
mdolC8	Actinopteri
mdolC9	Actinopteri
apoH1	Actinopteri
apoC2	Actinopteri
apoH3	Actinopteri
apoH4	Actinopteri
apoC5	Actinopteri
apoC6	Actinopteri
apoC7	Actinopteri
apoC8	Actinopteri
spiC2	Insecta
spiC3	Insecta
samC2	Insecta
samC3	Insecta
gmuH1	Actinopteri
gmuH2	Actinopteri
gmuC3	Actinopteri
gmuC4	Actinopteri
gmuN5	Actinopteri
gmuC6	Actinopteri
gmuH7	Actinopteri
chisC2	Insecta
chisC3	Insecta
mmeC1	Bivalvia
mmeC2	Bivalvia
mmeN3	Bivalvia
mmeN4	Bivalvia
mmeC5	Bivalvia
mmeC6	Bivalvia
mmeN8	Bivalvia
mmeC9	Bivalvia
mmeC10	Bivalvia
mmeC11	Bivalvia
mmeC12	Bivalvia
mmeC13	Bivalvia
mmeC14	Bivalvia
mmeC15	Bivalvia
mmeN16	Bivalvia
mmeN17	Bivalvia
mmeN20	Bivalvia
mmeC22	Bivalvia
mmeC23	Bivalvia
mmeN24	Bivalvia
mmeC25	Bivalvia
mmeC26	Bivalvia
mmeC27	Bivalvia
mmeN28	Bivalvia
mmeC29	Bivalvia
mmeN30	Bivalvia
rtyH1	Chondrichthyes
rtyH2	Chondrichthyes
rtyC3	Chondrichthyes
rtyH4	Chondrichthyes
nlecC1	Insecta
nlecC2	Insecta
nlecC3	Insecta
nvirC3	Insecta
htrC1	Actinopteri
htrC2	Actinopteri
htrH3	Actinopteri
htrH4	Actinopteri
htrH5	Actinopteri
htrH6	Actinopteri
htrH7	Actinopteri
lcuC2	Insecta
lcuC3	Insecta
hvuN1	Hydrozoa
hvuN2	Hydrozoa
sfaH1	Chondrichthyes
sfaC2	Chondrichthyes
sfaH3	Chondrichthyes
sfaH4	Chondrichthyes
smaC1	Actinopteri
smaC2	Actinopteri
smaH3	Actinopteri
smaH4	Actinopteri
smaC5	Actinopteri
smaH6	Actinopteri
mceC1	Actinopteri
mceH3	Actinopteri
mceH4	Actinopteri
mceC5	Actinopteri
scaH1	Aves
hstC1	Actinopteri
hstH2	Actinopteri
hstH3	Actinopteri
hstH4	Actinopteri
hstC5	Actinopteri
hzeC1	Insecta
hzeC2	Insecta
agrC2	Insecta
agrC3	Insecta
tfuH1	Actinopteri
tfuH2	Actinopteri
tfuH3	Actinopteri
tfuC4	Actinopteri
tfuC5	Actinopteri
tfuC6	Actinopteri
tfuC7	Actinopteri
tfuC8	Actinopteri
lroC1	Actinopteri
lroC2	Actinopteri
lroH3	Actinopteri
lroH4	Actinopteri
lroC5	Actinopteri
lroC6	Actinopteri
lroH7	Actinopteri
lglC1	Insecta
lglC2	Insecta
btaxH1	Mammalia
btaxH2	Mammalia
btaxH5	Mammalia
sfrC1	Insecta
sfrC2	Insecta
ploH1	Mammalia
ploH3	Mammalia
lmuH2	Aves
okeC1	Actinopteri
bdoC1	Insecta
bdoC2	Insecta
ifuC2	Actinopteri
ifuC3	Actinopteri
ifuC4	Actinopteri
ifuH6	Actinopteri
ifuH7	Actinopteri
ifuH8	Actinopteri
ifuC9	Actinopteri
ifuH10	Actinopteri
ifuH11	Actinopteri
amexH1	Actinopteri
amexC2	Actinopteri
amexH3	Actinopteri
amexC4	Actinopteri
amexC5	Actinopteri
amexH6	Actinopteri
ccarH10	Testudines
ccarH11	Testudines
ccarH12	Testudines
ccarH13	Testudines
harC1	Insecta
harC2	Insecta
punH1	Mammalia
cgiH1	Actinopteri
cgiC2	Actinopteri
cgiC3	Actinopteri
cgiC4	Actinopteri
cgiH5	Actinopteri
cgiH6	Actinopteri
cgiC7	Actinopteri
cgiC8	Actinopteri
cgiH10	Actinopteri
bbrH1	Actinopteri
bbrC4	Actinopteri
bbrC5	Actinopteri
bbrC6	Actinopteri
bbrH7	Actinopteri
bbrH8	Actinopteri
bbrH9	Actinopteri
sserC3	Insecta
sgrC2	Insecta
sniC3	Insecta
setH2	Mammalia
setH3	Mammalia
emaH1	Mammalia
emaH2	Mammalia
emaH3	Mammalia
cgaC1	Actinopteri
cgaC2	Actinopteri
cgaC3	Actinopteri
cgaC4	Actinopteri
cgaH5	Actinopteri
cgaH6	Actinopteri
cgaC7	Actinopteri
cgaH8	Actinopteri
pgoC1	Insecta
pgoC2	Insecta
atuC2	Insecta
atuC3	Insecta
bafC1	Insecta
bafC2	Insecta
bhuC1	Insecta
bhuC2	Insecta
bneC3	Insecta
esiC2	Malacostraca
dguC2	Insecta
gflH1	Testudines
gflH2	Testudines
dbiC1	Insecta
hzoH1	Actinopteri
hzoC2	Actinopteri
hzoH3	Actinopteri
hzoH4	Actinopteri
cangC2	Bivalvia
cangN3	Bivalvia
cangN4	Bivalvia
cangN6	Bivalvia
cangC7	Bivalvia
cangC8	Bivalvia
cangN9	Bivalvia
cangC10	Bivalvia
cangC11	Bivalvia
cangN12	Bivalvia
cangN13	Bivalvia
cangC14	Bivalvia
cangC15	Bivalvia
cangN17	Bivalvia
cangC18	Bivalvia
cangC19	Bivalvia
cangC20	Bivalvia
cangC21	Bivalvia
cangC22	Bivalvia
cangC23	Bivalvia
cangC24	Bivalvia
cangC25	Bivalvia
cangC26	Bivalvia
xteC1	Actinopteri
xteH2	Actinopteri
xteH3	Actinopteri
xteH4	Actinopteri
xteH5	Actinopteri
xteC6	Actinopteri
xteH7	Actinopteri
mdeC1	Insecta
mdeC2	Insecta
cquaC1	Malacostraca
marN1	Bivalvia
marN2	Bivalvia
marC3	Bivalvia
marC4	Bivalvia
marN6	Bivalvia
marN7	Bivalvia
marC8	Bivalvia
marC9	Bivalvia
marC11	Bivalvia
marC12	Bivalvia
marC13	Bivalvia
marC14	Bivalvia
marC15	Bivalvia
marN16	Bivalvia
marN17	Bivalvia
marC18	Bivalvia
marC19	Bivalvia
marC20	Bivalvia
marN21	Bivalvia
marC22	Bivalvia
marC23	Bivalvia
marC24	Bivalvia
marC25	Bivalvia
marC26	Bivalvia
marC27	Bivalvia
marC31	Bivalvia
marC33	Bivalvia
marC34	Bivalvia
marC35	Bivalvia
