Arachnida 29
Priapulimorpha 10
Collembola 4
Merostomata 5
Cestoda 1
Lingulata 33
Crocodylia 10
Gastropoda 59
Echinoidea 2
Mammalia 312
Clitellata 3
Leptocardii 13
Ascidiacea 10
Coelacanthiformes 3
Insecta 280
Malacostraca 5
Thecostraca 4
Bivalvia 29
Chromadorea 10
Chondrichthyes 4
Testudines 10
Lepidosauria 27
Aves 115
Demospongiae 3
Enteropneusta 1
Trichoplacidae 1
Amphibia 3
Anthozoa 20
Actinopteri 195
Hexanauplia 6
Crinoidea 2
