Actinopteri	Betta splendens	158456	7
Actinopteri	Oncorhynchus nerka	8023	6
Actinopteri	Astyanax mexicanus	7994	6
Actinopteri	Cottoperca gobio	56716	6
Actinopteri	Perca fluviatilis	8168	6
Actinopteri	Siniperca chuatsi	119488	6
Actinopteri	Perca flavescens	8167	6
Actinopteri	Cyclopterus lumpus	8103	6
Actinopteri	Epinephelus moara	300413	6
Actinopteri	Epinephelus fuscoguttatus	293821	6
Actinopteri	Epinephelus lanceolatus	310571	6
Actinopteri	Silurus meridionalis	175797	6
Amphibia	Xenopus tropicalis	8364	6
Chondrichthyes	Amblyraja radiata	386614	6
Actinopteri	Alosa sapidissima	34773	6
Actinopteri	Xiphias gladius	8245	6
Actinopteri	Megalobrama amblycephala	75352	6
Actinopteri	Gouania willdenowi	441366	6
Actinopteri	Xiphophorus couchianus	32473	6
Actinopteri	Larimichthys crocea	215358	6
Actinopteri	Plectropomus leopardus	160734	6
Mammalia	Ovis aries	9940	6
Actinopteri	Acanthopagrus latus	8177	6
Actinopteri	Sebastes umbrosus	72105	6
Polypteridae	Polypterus senegalus	55291	6
Actinopteri	Scophthalmus maximus	52904	6
Actinopteri	Puntigrus tetrazona	1606681	6
Mammalia	Cervus elaphus	9860	6
Actinopteri	Salarias fasciatus	181472	6
Mammalia	Bubalus bubalis	89462	6
Mammalia	Cervus canadensis	1574408	6
Actinopteri	Cheilinus undulatus	241271	6
Chordata	Protopterus annectens	7888	6
Actinopteri	Hippoglossus hippoglossus	8267	5
Mammalia	Bos indicus x Bos taurus	30522	5
Testudines	Dermochelys coriacea	27794	5
Actinopteri	Oryzias melastigma	30732	5
Mammalia	Sus scrofa	9823	5
Actinopteri	Thalassophryne amazonica	390379	5
Squamata	Thamnophis elegans	35005	5
Mammalia	Bos indicus	9915	5
Actinopteri	Echeneis naucrates	173247	5
Actinopteri	Myripristis murdjan	586833	5
Mammalia	Camelus ferus	419612	5
Actinopteri	Alosa alosa	278164	5
Actinopteri	Scleropages formosus	113540	5
Actinopteri	Mugil cephalus	48193	5
Actinopteri	Toxotes jaculatrix	941984	5
Actinopteri	Gadus morhua	8049	5
Mammalia	Pan paniscus	9597	5
Mammalia	Bos taurus	9913	5
Amphibia	Geotrypetes seraphini	260995	5
Actinopteri	Hippoglossus stenolepis	195615	5
Actinopteri	Scatophagus argus	75038	5
Testudines	Chelonia mydas	8469	5
Actinopteri	Notolabrus celidotus	1203425	5
Actinopteri	Clupea harengus	7950	5
Mammalia	Phacochoerus africanus	41426	5
Actinopteri	Parambassis ranga	210632	5
Actinopteri	Cynoglossus semilaevis	244447	5
Mammalia	Capra hircus	9925	5
Actinopteri	Sphaeramia orbicularis	375764	5
Actinopteri	Periophthalmus magnuspinnatus	409849	5
Actinopteri	Danio rerio	7955	5
Mammalia	Papio anubis	9555	5
Chondrichthyes	Scyliorhinus canicula	7830	5
Mammalia	Choloepus didactylus	27675	5
Mammalia	Peromyscus leucopus	10041	4
Chondrichthyes	Rhincodon typus	259920	4
Mammalia	Vulpes lagopus	494514	4
Mammalia	Tursiops truncatus	9739	4
Mammalia	Perognathus longimembris pacificus	38669	4
Mammalia	Meles meles	9662	4
Amphibia	Microcaecilia unicolor	1415580	4
Mammalia	Rhinopithecus roxellana	61622	4
Actinopteri	Maylandia zebra	106582	4
Mammalia	Peromyscus maniculatus bairdii	10042	4
Mammalia	Jaculus jaculus	51337	4
Mammalia	Trichosurus vulpecula	9337	4
Mammalia	Sarcophilus harrisii	9305	4
Mammalia	Macaca mulatta	9544	4
Mammalia	Macaca fascicularis	9541	4
Mammalia	Lutra lutra	9657	4
Mammalia	Phocoena sinus	42100	4
Mammalia	Leopardus geoffroyi	46844	4
Mammalia	Lemur catta	9447	4
Mammalia	Piliocolobus tephrosceles	591936	4
Actinopteri	Poecilia reticulata	8081	4
Mammalia	Zalophus californianus	9704	4
Mammalia	Microcebus murinus	30608	4
Mammalia	Pan troglodytes	9598	4
Mammalia	Pongo abelii	9601	4
Amphibia	Rhinatrema bivittatum	194408	4
Mammalia	Panthera tigris	9694	4
Actinopteri	Oryzias latipes	8090	4
Squamata	Sphaerodactylus townsendi	933632	4
Chondrichthyes	Stegostoma fasciatum	378071	4
Mammalia	Orcinus orca	9733	4
Mammalia	Onychomys torridus	38674	4
Mammalia	Suncus etruscus	109475	4
Actinopteri	Pseudochaenichthys georgianus	52239	4
Mammalia	Suricata suricatta	37032	4
Actinopteri	Syngnathus acus	161584	4
Mammalia	Panthera uncia	29064	4
Actinopteri	Nothobranchius furzeri	105023	4
Mammalia	Nomascus leucogenys	61853	4
Mammalia	Neosciurus carolinensis	30640	4
Mammalia	Neomonachus schauinslandi	29088	4
Mammalia	Neogale vison	452646	4
Actinopteri	Nematolebias whitei	451745	4
Mammalia	Mustela erminea	36723	4
Mammalia	Prionailurus viverrinus	61388	4
Actinopteri	Pygocentrus nattereri	42514	4
Mammalia	Prionailurus bengalensis	37029	4
Mammalia	Monodelphis domestica	13616	4
Mammalia	Microtus ochrogaster	79684	4
Mammalia	Theropithecus gelada	9565	4
Mammalia	Panthera leo	9689	4
Amphibia	Rana temporaria	8407	4
Mammalia	Lynx canadensis	61383	4
Mammalia	Gorilla gorilla gorilla	9593	4
