Lingulata	Lingula anatina	7574	28
Gastropoda	Haliotis rufescens	6454	21
Gastropoda	Haliotis rubra	36100	16
Bivalvia	Ostrea edulis	37623	15
Bivalvia	Mizuhopecten yessoensis	6573	13
Leptocardii	Branchiostoma belcheri	7741	12
Actinopteri	Sinocyclocheilus anshuiensis	1608454	11
Gastropoda	Lottia gigantea	225164	10
Ascidiacea	Styela clava	7725	9
Actinopteri	Sinocyclocheilus grahami	75366	9
Actinopteri	Sinocyclocheilus rhinocerous	307959	8
Actinopteri	Trematomus bernacchii	40690	8
Actinopteri	Poecilia mexicana	48701	8
Actinopteri	Colossoma macropomum	42526	7
Actinopteri	Stegastes partitus	144197	7
Priapulimorpha	Priapulus caudatus	37621	7
Actinopteri	Monopterus albus	43700	7
Gastropoda	Aplysia californica	6500	7
Actinopteri	Boleophthalmus pectinirostris	150288	6
Actinopteri	Pimephales promelas	90988	6
Actinopteri	Micropterus salmoides	27706	6
Actinopteri	Labrus bergylta	56723	6
Mammalia	Oryx dammah	59534	6
Actinopteri	Pungitius pungitius	134920	6
Actinopteri	Poecilia formosa	48698	6
Actinopteri	Poecilia latipinna	48699	6
Actinopteri	Seriola lalandi dorsalis	302047	6
Actinopteri	Seriola dumerili	41447	6
Insecta	Onthophagus taurus	166361	6
Actinopteri	Cyprinodon variegatus	28743	6
Actinopteri	Paramormyrops kingsleyae	1676925	6
Hexanauplia	Eurytemora affinis	88015	5
Mammalia	Bos mutus	72004	5
Mammalia	Talpa occidentalis	50954	5
Insecta	Agrilus planipennis	224129	5
Actinopteri	Simochromis diagramma	43689	5
Actinopteri	Amphiprion ocellaris	80972	5
Actinopteri	Morone saxatilis	34816	5
Actinopteri	Anarrhichthys ocellatus	433405	5
Actinopteri	Gymnodraco acuticeps	8218	5
Actinopteri	Paralichthys olivaceus	8255	5
Mammalia	Delphinapterus leucas	9749	5
Mammalia	Bison bison bison	9901	5
Actinopteri	Austrofundulus limnaeus	52670	5
Merostomata	Limulus polyphemus	6850	5
Mammalia	Echinops telfairi	9371	4
Mammalia	Pteropus alecto	9402	4
Mammalia	Elephantulus edwardii	28737	4
Thecostraca	Pollicipes pollicipes	41117	4
Mammalia	Vombatus ursinus	29139	4
Mammalia	Enhydra lutris kenyoni	34882	4
Mammalia	Orycteropus afer afer	9818	4
Mammalia	Puma yagouaroundi	1608482	4
Mammalia	Pteropus giganteus	143291	4
Mammalia	Dipodomys ordii	10020	4
Mammalia	Pteropus vampyrus	132908	4
Mammalia	Puma concolor	9696	4
Mammalia	Equus przewalskii	9798	4
Mammalia	Desmodus rotundus	9430	4
Mammalia	Lontra canadensis	76717	4
Mammalia	Myotis myotis	51298	4
Mammalia	Vicugna pacos	30538	4
Mammalia	Loxodonta africana	9785	4
Mammalia	Eptesicus fuscus	29078	4
Mammalia	Molossus molossus	27622	4
Mammalia	Erinaceus europaeus	9365	4
Mammalia	Eumetopias jubatus	34886	4
Mammalia	Neophocaena asiaeorientalis asiaeorientalis	189058	4
Lepidosauria	Notechis scutatus	8663	4
Mammalia	Halichoerus grypus	9711	4
Mammalia	Heterocephalus glaber	10181	4
Actinopteri	Hippocampus comes	109280	4
Mammalia	Hyaena hyaena	95912	4
Mammalia	Globicephala melas	9731	4
Mammalia	Phoca vitulina	9720	4
Lepidosauria	Gekko japonicus	146911	4
Mammalia	Phyllostomus hastatus	9423	4
Mammalia	Hylobates moloch	81572	4
Actinopteri	Neolamprologus brichardi	32507	4
Mammalia	Panthera pardus	9691	4
Mammalia	Fukomys damarensis	885580	4
Anthozoa	Pocillopora damicornis	46731	4
Mammalia	Vulpes vulpes	9627	4
Mammalia	Lagenorhynchus obliquidens	90247	4
Mammalia	Nannospalax galili	1026970	4
Anthozoa	Exaiptasia diaphana	2652724	4
Mammalia	Macaca nemestrina	9545	4
Mammalia	Otolemur garnettii	30611	4
Mammalia	Balaenoptera acutorostrata scammoni	9767	4
Mammalia	Lynx rufus	61384	4
Insecta	Rhagoletis zephyria	28612	4
Insecta	Stomoxys calcitrans	35570	4
Mammalia	Marmota monax	9995	4
Mammalia	Sturnira hondurensis	192404	4
Mammalia	Odocoileus virginianus texanus	9874	4
Mammalia	Meriones unguiculatus	10047	4
Mammalia	Urocitellus parryii	9999	4
Mammalia	Cebus imitator	2715852	4
Mammalia	Cavia porcellus	10141	4
Mammalia	Castor canadensis	51338	4
Mammalia	Odobenus rosmarus divergens	9707	4
Mammalia	Octodon degus	10160	4
Actinopteri	Syngnathus scovelli	161590	4
Mammalia	Callorhinus ursinus	34884	4
Chondrichthyes	Callorhinchus milii	7868	4
Mammalia	Mesocricetus auratus	10036	4
